constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_002299,established,5,424|663|721|985|1036,424|721,2,1,1,0,0.1504
est_002300,established,2,77|426,426,2,2,0,0,0.3957
est_002301,established,2,429|1261,429,2,1,1,0,0.5378
est_002302,established,3,430|773|993,430,2,1,0,1,0.7508
est_002303,established,2,430|1547,430,2,2,0,0,0.5945
est_002304,established,3,224|431|903,431,2,1,0,1,0.7435
est_002305,established,2,353|432,432,2,1,0,1,0.6729
est_002306,established,2,432|1143,432,2,1,1,0,0.5567
est_002307,established,2,432|1255,432|1255,2,1,1,0,0.9313
est_002308,established,3,433|594|1038,433,2,2,0,0,0.4541
est_002309,established,2,88|433,88|433,2,1,1,0,0.636
est_002310,established,2,316|434,434,2,1,1,0,0.4149
est_002311,established,3,435|603|821,435|821,2,1,0,1,0.3984
est_002312,established,2,436|781,436,2,1,0,1,0.2734
est_002313,established,4,77|252|316|438,438,2,2,0,0,0.3634
est_002314,established,3,438|1022|1036,438|1022,2,2,0,0,0.2603
est_002315,established,2,438|1542,438|1542,2,2,0,0,0.1274
est_002316,established,2,441|789,441,2,1,0,1,0.3639
est_002317,established,3,279|441|1321,441|1321,2,2,0,0,0.4248
est_002318,established,3,402|447|1296,447|1296,2,1,1,0,0.5525
est_002319,established,4,0|402|447|1296,447,2,1,0,1,0.4133
est_002320,established,3,0|318|447,447,2,1,1,0,0.3075
est_002321,established,2,448|686,448,2,1,1,0,0.4255
est_002322,established,2,151|448,448,2,1,1,0,0.2253
est_002323,established,2,311|449,311|449,2,1,0,1,0.7675
